City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,al jawf,29.5,38.75,30.77,15,0,3.86,SA,clear sky
1,college,64.8569,-147.8028,22.82,59,40,0.0,US,smoke
2,nenjiang,49.1833,125.2167,14.26,90,0,1.95,CN,clear sky
3,wuhai,39.6647,106.8122,29.45,30,100,1.92,CN,overcast clouds
4,guelmim,28.987,-10.0574,22.52,71,5,5.63,MA,clear sky
5,lihue,21.9789,-159.3672,27.77,71,20,5.66,US,few clouds
6,adamstown,-25.066,-130.1015,19.13,63,9,6.32,PN,clear sky
7,wailua homesteads,22.0669,-159.378,27.44,78,20,5.66,US,few clouds
8,bilibino,68.0546,166.4372,4.17,96,100,2.66,RU,overcast clouds
9,whitehorse,60.7161,-135.0538,21.43,42,40,4.12,CA,scattered clouds
10,port-aux-francais,-49.35,70.2167,2.42,72,97,13.98,TF,overcast clouds
11,atafu village,-8.5421,-172.5159,27.96,77,20,5.45,TK,few clouds
12,la mira,18.035,-102.3266,31.45,58,95,1.02,MX,overcast clouds
13,cerro largo,-28.1486,-54.7381,30.2,36,0,2.72,BR,clear sky
14,ola,59.5833,151.2833,11.28,65,10,3.67,RU,clear sky
15,braganca,-1.0536,-46.7656,30.06,63,83,3.45,BR,broken clouds
16,albany,42.6001,-73.9662,27.19,57,100,3.78,US,overcast clouds
17,longyearbyen,78.2186,15.6401,9.91,93,100,4.12,SJ,heavy intensity rain
18,minas de marcona,-15.2119,-75.1103,17.78,58,7,3.92,PE,clear sky
19,nar'yan-mar,67.6713,53.087,19.82,81,19,2.92,RU,light rain
20,st. john's,47.5649,-52.7093,20.93,73,75,6.17,CA,broken clouds
21,djibo,14.1022,-1.6306,33.47,47,100,7.2,BF,overcast clouds
22,arraial do cabo,-22.9661,-42.0278,22.98,78,0,5.14,BR,clear sky
23,tangalle,6.024,80.7911,26.5,83,100,5.4,LK,overcast clouds
24,bredasdorp,-34.5322,20.0403,9.86,92,100,1.53,ZA,overcast clouds
25,yellowknife,62.456,-114.3525,20.31,42,75,3.6,CA,broken clouds
26,grytviken,-54.2811,-36.5092,-5.25,83,100,5.3,GS,light snow
27,vorgashor,67.5833,63.95,17.85,54,0,2.28,RU,clear sky
28,wynyard,-41.0,145.7167,7.21,90,24,2.84,AU,few clouds
29,malango,-2.9627,119.9001,19.26,97,88,0.29,ID,overcast clouds
30,urengoy,65.9667,78.3667,18.2,57,10,2.99,RU,clear sky
